type_annonce,titre,location,date,modele,transsmission,carburant,image,propriétere,link,ville,quartier
Voitures d'occasion,stellantis - peugeot 3008 - 2025,"casablanca, ain sebaa",il y a 1 heure,2025,Automatique,Hybride,https://content.avito.ma/classifieds/images/10143222541?t=images,SPOTICAR MOULAY SLIMANE,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Stellantis___PEUGEOT_3008___2025_56991364.htm,casablanca,ain sebaa
Voitures d'occasion,mercedes-benz classe glk 200 diesel,"rabat, hay riad",il y a 22 heures,2014,Manuelle,Diesel,https://content.avito.ma/classifieds/images/10144230253?t=images,LH,https://www.avito.ma/fr/hay_riad/voitures_d_occasion/Mercedes_Benz_Classe_GLK_200_Diesel_57429500.htm,rabat,hay riad
Voitures d'occasion,honda accord essence boss,"temara, autre secteur",il y a 21 heures,2008,Automatique,Essence,https://content.avito.ma/classifieds/images/10143793062?t=images,MOUNY AUTO,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Honda_accord_essence_boss_57359839.htm,temara,autre secteur
Voitures de location,location de voiture kia carnival 8 places,"casablanca, maarif",il y a 5 minutes,,N/A,N/A,N/A,HORENT CAR,https://www.avito.ma/fr/maarif/voitures_de_location/Location_de_voiture_Kia_Carnival_8_places_53800662.htm,casablanca,maarif
Voitures d'occasion,megane coupé 1.9,"casablanca, 2 mars",il y a 8 minutes,2009,Manuelle,Diesel,N/A,LAVAGE AUTO SAAD,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Megane_coupé_1_9_57034852.htm,casablanca,2 mars
Voitures d'occasion,renault kangoo dic,"temara, abbadi",il y a 5 minutes,2008,Manuelle,Diesel,N/A,AUTO ISLAM,https://www.avito.ma/fr/abbadi/voitures_d_occasion/Renault_Kangoo_dic_57399074.htm,temara,abbadi
Voitures d'occasion,208 allure,"oujda, centre ville",il y a 4 minutes,2024,Manuelle,Diesel,N/A,Lfilali Lmahboul,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/208_allure_57509022.htm,oujda,centre ville
Voitures d'occasion,fiat diblo,"marrakech, socoma",il y a 4 minutes,2018,Manuelle,Diesel,N/A,Yass,https://www.avito.ma/fr/socoma/voitures_d_occasion/Fiat_diblo_57509025.htm,marrakech,socoma
Voitures de location,location de voiture bon prix,"casablanca, oulfa",il y a 9 minutes,,N/A,N/A,N/A,VAL CAR,https://www.avito.ma/fr/oulfa/voitures_de_location/Location_de_voiture_Bon_prix_48408425.htm,casablanca,oulfa
Voitures d'occasion,ford fiesta diesel manuelle 2011 à rabat,"rabat, hay al farah",il y a 8 minutes,2011,Manuelle,Diesel,N/A,ROYALCAR RABAT,https://www.avito.ma/fr/hay_al_farah/voitures_d_occasion/Ford_Fiesta_Diesel_Manuelle_2011_à_Rabat_57459356.htm,rabat,hay al farah
Voitures d'occasion,mahindra kuv 100 diesel manuelle 2022 à casablanca,"casablanca, 2 mars",il y a 7 minutes,2022,Manuelle,Diesel,N/A,Auto Simo,https://www.avito.ma/fr/2_mars/voitures_d_occasion/Mahindra_KUV_100_Diesel_Manuelle_2022_à_Casablanca_57505850.htm,casablanca,2 mars
Voitures d'occasion,opel astra 2008 essence,"casablanca, aïn chock",il y a 6 minutes,2008,Manuelle,Essence,N/A,Auto palace,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Opel_astra_2008_essence_52960316.htm,casablanca,aïn chock
Voitures d'occasion,peugeot 3008 diesel automatique 2021 à marrakech,"marrakech, massira 1",il y a 9 minutes,2021,Automatique,Diesel,N/A,Auto Hamza,https://www.avito.ma/fr/massira_1/voitures_d_occasion/Peugeot_3008_Diesel_Automatique_2021_à_Marrakech_57509009.htm,marrakech,massira 1
Voitures d'occasion,land rover discovery sport diesel automatique,"casablanca, centre ville",il y a 8 minutes,2020,Automatique,Diesel,N/A,Khadija Zitoune,https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Land_Rover_Discovery_Sport_Diesel_Automatique_57313960.htm,casablanca,centre ville
Voitures d'occasion,volkswagen touran diesel automatique 2023,"casablanca, aïn chock",il y a 12 minutes,2023,Automatique,Diesel,N/A,AUTO BABA HAFID,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Volkswagen_Touran_Diesel_Automatique_2023_57426676.htm,casablanca,aïn chock
Voitures de location,🚗 location de voitures économiques - offres spéciales 🚗,"casablanca, abdelmoumen",il y a 11 minutes,,N/A,N/A,N/A,Huren Cars,https://www.avito.ma/fr/abdelmoumen/voitures_de_location/___Location_de_voitures_économiques___Offres_spéciales____57402192.htm,casablanca,abdelmoumen
Voitures de location,location de voitures,"casablanca, 2 mars",il y a 11 minutes,,N/A,N/A,N/A,LOCATION DE VOITURE  JLM CAR,https://www.avito.ma/fr/2_mars/voitures_de_location/Location_de_voitures_57409680.htm,casablanca,2 mars
Voitures d'occasion,audi q3 sportback 2020,"fès, autre secteur",il y a 12 minutes,2020,Automatique,Diesel,N/A,EL ASRI AUTO,https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Audi_Q3_sportback_2020_54978546.htm,fès,autre secteur
Voitures d'occasion,bmw 750 hybride,"casablanca, aïn diab",il y a 12 minutes,2023,Automatique,Hybride,N/A,SELECTIVE MOTORS CARS,https://www.avito.ma/fr/aïn_diab/voitures_d_occasion/BMW_750_HYBRIDE_57224423.htm,casablanca,aïn diab
Voitures d'occasion,sandero diesel 2014 faire reprise,"agadir, tilila",il y a 11 minutes,2014,Manuelle,Diesel,N/A,VOITURES TILILA,https://www.avito.ma/fr/tilila/voitures_d_occasion/Sandero_diesel_2014_faire_reprise_57247003.htm,agadir,tilila
Voitures d'occasion,seat arona diesel manuelle 2022 à casablanca,"casablanca, gauthier",il y a 13 minutes,2022,Manuelle,Diesel,N/A,SIARACASH.MA,https://www.avito.ma/fr/gauthier/voitures_d_occasion/SEAT_ARONA_Diesel_Manuelle_2022_à_Casablanca_57020662.htm,casablanca,gauthier
Voitures d'occasion,stellantis - jeep renegade - 2024,"bouskoura, bouskoura centre",il y a 13 minutes,2024,Automatique,Essence,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/bouskoura_centre/voitures_d_occasion/Stellantis___JEEP_Renegade___2024_56820621.htm,bouskoura,bouskoura centre
Voitures d'occasion,opel corsa 1.5 d 102 edition,"casablanca, 2 mars",il y a 12 minutes,2024,Manuelle,Diesel,N/A,Brookline auto,https://www.avito.ma/fr/2_mars/voitures_d_occasion/OPEL_Corsa_1_5_D_102_Edition_57475674.htm,casablanca,2 mars
Voitures d'occasion,peugeot 3008 diesel automatique 2019 à rabat,"rabat, hay al farah",il y a 12 minutes,2019,Automatique,Diesel,N/A,ROYALCAR RABAT,https://www.avito.ma/fr/hay_al_farah/voitures_d_occasion/Peugeot_3008_Diesel_Automatique_2019_à_Rabat_57501078.htm,rabat,hay al farah
Voitures d'occasion,jeep cherokee longitude bva 2021 casablanca,"casablanca, anfa",il y a 11 minutes,2021,Automatique,Diesel,N/A,Stellantis You Casablanca,https://www.avito.ma/fr/anfa/voitures_d_occasion/Jeep_Cherokee_Longitude_BVA_2021_Casablanca_55852922.htm,casablanca,anfa
Voitures d'occasion,hyundai tucson 1.6 crdi 136 7dct premium cuir,"casablanca, ain sebaa",il y a 11 minutes,2024,Automatique,Diesel,N/A,otoclic casablanca,https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Hyundai_Tucson_1_6_CRDi_136_7DCT_Premium_Cuir_55711720.htm,casablanca,ain sebaa
Voitures de location,location de voiture fiat 500 cabriolet,"marrakech, guéliz",il y a 10 minutes,,N/A,N/A,N/A,HORENT CAR,https://www.avito.ma/fr/guéliz/voitures_de_location/LOCATION_DE_VOITURE_FIAT_500_Cabriolet_57291378.htm,marrakech,guéliz
Voitures d'occasion,jeep renegade 01-2022 automatique à marrakech,"marrakech, massira 2",il y a 12 minutes,2022,Automatique,Diesel,N/A,Auto Hicham Errahmani,https://www.avito.ma/fr/massira_2/voitures_d_occasion/Jeep_Renegade_01_2022_Automatique_à_Marrakech_53963586.htm,marrakech,massira 2
Voitures d'occasion,ford ranger raptor 01-2021 à marrakech,"marrakech, massira 2",il y a 12 minutes,2021,Automatique,Diesel,N/A,Auto Hicham Errahmani,https://www.avito.ma/fr/massira_2/voitures_d_occasion/FORD_RANGER_RAPTOR_01_2021_à_Marrakech_56243318.htm,marrakech,massira 2
Voitures d'occasion,ford à vendre,"casablanca, aïn chock",il y a 11 minutes,2016,Manuelle,Diesel,N/A,MOHAMED EL AMRANI,https://www.avito.ma/fr/aïn_chock/voitures_d_occasion/Ford_à_vendre_57485871.htm,casablanca,aïn chock
Voitures de location,renault kardian automatique,"marrakech, agdal",il y a 12 minutes,,N/A,N/A,N/A,location de voiture à Marrakech  aéroport,https://www.avito.ma/fr/agdal/voitures_de_location/Renault_kardian_automatique_54618666.htm,marrakech,agdal
